,num bidders,avg rev,avg num med
0,2.0,2.630437226013957,1.86
1,3.0,4.156921938165305,2.4
2,4.0,5.14,2.89
3,5.0,5.813776741499454,3.16
4,6.0,6.760591690081571,3.65
5,7.0,7.275816105427625,3.72
6,8.0,8.061017305526642,4.05
7,9.0,8.58,4.31
8,10.0,9.107359661284933,4.76
9,11.0,9.750876883644876,4.9
10,12.0,10.149817732353622,4.79
11,13.0,10.275821135072368,4.79
12,14.0,10.775973273908951,5.03
13,15.0,11.464030704773956,5.69
14,16.0,11.84,5.88
15,17.0,12.080699483059744,5.52
16,18.0,12.685495654486662,5.87
17,19.0,12.989518851751209,6.02
18,20.0,13.058636988598773,5.85
19,21.0,13.656075570968403,6.4
20,22.0,13.883630649077352,6.28
21,23.0,14.195661309005649,6.26
22,24.0,14.45198948242075,7.01
23,25.0,14.95,6.83
24,26.0,15.14408795537057,7.0
25,27.0,15.53649574389283,7.58
26,28.0,15.768677813944961,7.15
27,29.0,16.101642773332166,7.52
28,30.0,16.322132213653948,7.5
29,31.0,16.703293088490064,7.21
30,32.0,16.970562748477143,7.69
31,33.0,17.233687939614086,8.05
32,34.0,17.376236646638997,7.56
33,35.0,17.74823934929885,8.28
34,36.0,18.0,7.84
35,37.0,18.24828759089466,8.13
36,38.0,18.49324200890693,8.05
37,39.0,18.672544015211212,8.38
38,40.0,18.91042040780691,8.62
39,41.0,19.209372712298546,8.36
40,42.0,19.44222209522358,8.02
41,43.0,19.672315572906,8.84
42,44.0,19.8997487421324,8.79
43,45.0,20.12461179749811,8.63
44,46.0,20.346989949375804,9.04
45,47.0,20.56696380120313,8.72
46,48.0,20.784609690826528,9.33
47,49.0,21.0,9.19
48,50.0,21.071782079359117,9.65
49,51.0,21.42428528562855,9.42
50,52.0,21.633307652783934,9.66
51,53.0,21.840329667841555,8.99
52,54.0,21.89843830048161,8.99
53,55.0,22.17443347641603,9.57
54,56.0,22.37511117290817,9.47
55,57.0,22.64950330581225,10.12
56,58.0,22.847319317591726,9.84
57,59.0,23.043437243605823,9.43
58,60.0,23.237900077244504,9.79
59,61.0,23.430749027719962,10.15
60,62.0,23.622023622035435,10.12
61,63.0,23.811761799581316,10.37
62,64.0,24.0,9.87
63,65.0,24.025528089929676,10.08
64,66.0,24.372115213907882,10.2
65,67.0,24.55605831561735,10.2
66,68.0,24.73863375370596,11.14
67,69.0,24.919871588754226,10.51
68,70.0,25.099800796022265,10.19
69,71.0,25.278449319529077,11.41
70,72.0,25.45584412271571,10.74
71,73.0,25.63201123595259,11.4
72,74.0,25.63492929578703,10.22
73,75.0,25.98076211353316,11.28
74,76.0,26.153393661244046,11.29
75,77.0,26.324893162176366,10.94
76,78.0,26.495282598983543,11.55
77,79.0,26.664583251946766,10.74
78,80.0,26.832815729997478,11.35
79,81.0,27.0,11.25
80,82.0,27.166155414412252,11.19
81,83.0,27.331300737432898,11.73
82,84.0,27.49545416973504,11.49
83,85.0,27.65863337187866,11.71
84,86.0,27.820855486487112,11.86
85,87.0,27.982137159266447,11.64
86,88.0,28.142494558940577,12.06
87,89.0,28.30194339616981,12.16
88,90.0,28.460498941515414,11.87
89,91.0,28.618176042508367,11.63
90,92.0,28.774989139876315,11.55
91,93.0,28.930952282978865,12.24
92,94.0,29.086079144497976,11.83
93,95.0,29.24038303442689,12.57
94,96.0,29.393876913398135,12.08
95,97.0,29.546573405388312,12.38
96,98.0,29.698484809834994,11.81
97,99.0,29.849623113198597,12.03
98,100.0,30.0,12.82
