,num bidders,avg rev,avg num med,avg_num_med
0,2.0,2.6870057685088806,,1.9
1,3.0,3.204293994002423,,2.3
2,4.0,3.9,,2.55
3,5.0,4.3603325561245905,,3.25
4,6.0,4.5315560241488795,,2.95
5,7.0,5.159215056575952,,3.85
6,8.0,5.656854249492381,,4.05
7,9.0,6.0,,4.1
8,10.0,6.324555320336759,,4.1
9,11.0,6.6332495807108,,4.1
10,12.0,6.408587988004846,,4.2
11,13.0,7.211102550927978,,4.45
12,14.0,7.483314773547883,,5.35
13,15.0,7.745966692414834,,5.1
14,16.0,7.8,,4.6
15,17.0,7.215434844830906,,4.9
16,18.0,8.48528137423857,,4.4
17,19.0,8.499852939904315,,4.65
18,20.0,8.720665112249181,,5.2
19,21.0,9.16515138991168,,5.15
20,22.0,9.38083151964686,,5.35
21,23.0,9.591663046625438,,5.65
22,24.0,9.797958971132712,,6.05
23,25.0,10.0,,6.5
24,26.0,10.198039027185569,,6.15
25,27.0,10.392304845413264,,6.65
26,28.0,10.583005244258363,,5.3
27,29.0,10.770329614269007,,5.7
28,30.0,10.954451150103322,,5.75
