num items,num bidders,avg rev,,
2,2,2.517300141,2.828427125,0.311126984
2,3,3.117691454,3.464101615,0.346410162
2,4,3.72,4,0.28
2,5,4.159086438,4.472135955,0.313049517
2,6,4.752010101,4.898979486,0.146969385
2,7,5.053385004,5.291502622,0.238117618
2,8,5.43058008,5.656854249,0.22627417
2,9,5.73,6,0.27
2,10,6.166441437,6.32455532,0.158113883
2,11,6.533750837,6.633249581,0.099498744
2,12,6.824280182,6.92820323,0.103923048
2,13,7.211102551,7.211102551,7.99361E-15
2,14,7.183982183,7.483314774,0.299332591
2,15,7.629777192,7.745966692,0.1161895
2,16,7.84,8,0.16
2,17,8.204980195,8.246211251,0.041231056
2,18,8.40042856,8.485281374,0.084852814
2,19,8.674208898,8.717797887,0.043588989
2,20,8.854829191,8.94427191,0.089442719
2,21,9.073499876,9.16515139,0.091651514
2,22,9.38083152,9.38083152,0
2,23,9.495746416,9.591663047,0.09591663
2,24,9.699979381,9.797958971,0.09797959
2,25,9.9,10,0.1
2,26,10.19803903,10.19803903,6.92779E-14
2,27,10.39230485,10.39230485,6.39488E-14
2,28,10.58300524,10.58300524,6.21725E-14
2,29,10.77032961,10.77032961,7.10543E-15
2,30,10.84490664,10.95445115,0.109544512
2,31,11.13552873,11.13552873,4.26326E-14
2,32,11.3137085,11.3137085,6.03961E-14
2,33,11.48912529,11.48912529,5.68434E-14
2,34,11.66190379,11.66190379,1.77636E-15
2,35,11.77299877,11.83215957,0.059160798
2,36,12,12,0
2,37,12.16552506,12.16552506,3.90799E-14
2,38,12.26718387,12.32882801,0.06164414
2,39,12.36509604,12.489996,0.12489996
2,40,12.64911064,12.64911064,1.77636E-14
2,41,12.80624847,12.80624847,9.76996E-14
2,42,12.89667399,12.9614814,0.064807407
2,43,13.11487705,13.11487705,0
2,44,13.26649916,13.26649916,0
2,45,13.41640786,13.41640786,3.90799E-14
2,46,13.56465997,13.56465997,3.55271E-14
2,47,13.64275265,13.7113092,0.068556546
2,48,13.85640646,13.85640646,1.77636E-14
2,49,14,14,0
2,50,14.14213562,14.14213562,5.15143E-14
2,51,14.28285686,14.28285686,0
2,52,14.4222051,14.4222051,5.68434E-14
2,53,14.56021978,14.56021978,3.55271E-14
2,54,14.69693846,14.69693846,6.92779E-14
2,55,14.83239697,14.83239697,2.66454E-14
2,56,14.96662955,14.96662955,6.57252E-14
2,57,15.02417053,15.09966887,0.075498344
2,58,15.23154621,15.23154621,1.77636E-14
2,59,15.3622915,15.3622915,1.59872E-14
2,60,15.49193338,15.49193338,6.75016E-14
2,61,15.62049935,15.62049935,7.10543E-15
2,62,15.74801575,15.74801575,2.30926E-14
2,63,15.87450787,15.87450787,4.44089E-14
2,64,16,16,0
2,65,16.04389292,16.1245155,0.080622577
2,66,16.24807681,16.24807681,2.13163E-14
2,67,16.37070554,16.37070554,0
2,68,16.4924225,16.4924225,4.26326E-14
2,69,16.61324773,16.61324773,4.9738E-14
2,70,16.73320053,16.73320053,1.06581E-14
2,71,16.85229955,16.85229955,1.77636E-14
2,72,16.97056275,16.97056275,3.90799E-14
2,73,17.08800749,17.08800749,6.03961E-14
2,74,17.20465053,17.20465053,5.32907E-14
2,75,17.32050808,17.32050808,7.4607E-14
2,76,17.43559577,17.43559577,9.59233E-14
2,77,17.54992877,17.54992877,4.61853E-14
