,num bidders,avg rev,avg num med
0,2.0,2.1920310216782974,1.55
1,3.0,3.031088913245535,2.05
2,4.0,3.9,2.55
3,5.0,4.136725758374611,2.6
4,6.0,4.654030511288038,3.4
5,7.0,4.894639925469493,2.85
6,8.0,5.374011537017761,3.0
7,9.0,6.0,3.5
8,10.0,6.1664414373283405,3.55
9,11.0,6.46741834119303,4.15
10,12.0,6.928203230275509,3.9
11,13.0,7.211102550927978,4.45
12,14.0,7.483314773547883,4.9
13,15.0,7.745966692414834,4.85
14,16.0,8.0,5.3
15,17.0,8.040055969954437,5.35
16,18.0,8.061017305526642,4.85
17,19.0,8.28190799272728,5.3
18,20.0,8.94427190999916,4.85
19,21.0,8.936022605163888,6.0
20,22.0,8.911789943664516,5.25
21,23.0,9.591663046625438,5.5
22,24.0,9.308061022576076,5.55
23,25.0,10.0,5.75
24,26.0,10.198039027185569,5.9
25,27.0,10.392304845413264,6.05
26,28.0,10.583005244258363,5.7
27,29.0,10.770329614269007,6.75
28,30.0,10.954451150103322,6.4
